Front,Back
Selam,Selam
Hello (lit. Peace),Hello (lit. Peace)
Chow,Chow
Bye,Bye
Gobez,Gobez
Clever,Clever
Shin-teh BAYT,Shin-teh BAYT
Bathroom,Bathroom
Shin-teh BAYT yet now?,Shin-teh BAYT yet now?
Where is the bathroom?,Where is the bathroom?
Endemeneh?Endemenesh?,Endemeneh?Endemenesh?
How are you? (m/f),How are you? (m/f)
Dehina,Dehina
Fine.,Fine.
EndemenwalkEndemenwalsh,EndemenwalkEndemenwalsh
Good afternoon (m/f),Good afternoon (m/f)
Awo,Awo
Yes,Yes
eye-duh-lemOReye,eye-duh-lemOReye
no,no
ishi,ishi
ok,ok
buna,buna
coffee,coffee
ebakihebakish,ebakihebakish
please (m/f),please (m/f)
amesegenalo,amesegenalo
Thank you,Thank you
igzer yestiligne,igzer yestiligne
Thank you,Thank you
Tena yestiligne,Tena yestiligne
Hello,Hello
Yiha men denow?,Yiha men denow?
What is this?,What is this?
and,and
one,one
hulet,hulet
two,two
sost,sost
three,three
arat,arat
four,four
amest,amest
five,five
sedest,sedest
six,six
sebat,sebat
seven (the Sabbath is the seventh day),seven (the Sabbath is the seventh day)
sement,sement
eight,eight
zeuTeuny,zeuTeuny
nine,nine
asser,asser
ten,ten
yirketa,yirketa
sorry/excuse me,sorry/excuse me
aznalo,aznalo
sorry,sorry
semeh man no?semesh man no?,semeh man no?semesh man no?
What is your name? (m/f),What is your name? (m/f)
Seme... no,Seme... no
My name is...,My name is...
Inglizenya/Amarenya techelaleh/techelalesh?,Inglizenya/Amarenya techelaleh/techelalesh?
Do you(m/f) speak English/Amharic?,Do you(m/f) speak English/Amharic?
Amarenya alchellem,Amarenya alchellem
I don't speak Amharic,I don't speak Amharic
"Ow, tennish tennish echelallo","Ow, tennish tennish echelallo"
"Yes, I speak a little","Yes, I speak a little"
Ferengi,Ferengi
foreigner,foreigner
Habesha,Habesha
Ethiopian person,Ethiopian person
Egzer,Egzer
God,God
Meusehaf kedus,Meusehaf kedus
Bible,Bible
Beteu Krestiyan,Beteu Krestiyan
Church (lit. Christian house),Church (lit. Christian house)
... efeullegallo,... efeullegallo
I want...,I want...
Rabeuny,Rabeuny
I'm hungry,I'm hungry
Konjo megeb no,Konjo megeb no
This food is delicious,This food is delicious
KONjo,KONjo
beautiful,beautiful
Alecha/beurbeure yihunelleny,Alecha/beurbeure yihunelleny
I want it mild/hot,I want it mild/hot
injera,injera
Ethiopian flat bread,Ethiopian flat bread
Beurbeure,Beurbeure
Ethiopian spice (very hot),Ethiopian spice (very hot)
weut,weut
stew,stew
Yeu iteyopiya megeb enweuddalleun,Yeu iteyopiya megeb enweuddalleun
We love Ethiopian cuisine,We love Ethiopian cuisine
arengwade,arengwade
green,green
biCHa,biCHa
yellow,yellow
Qey,Qey
red,red
birkutan,birkutan
orange,orange
semayawi,semayawi
blue,blue
weyntej,weyntej
purple,purple
Nay/Naw,Nay/Naw
Come (m/f),Come (m/f)
Bekaw,Bekaw
Enough/stop,Enough/stop
Hahgeh reh/resh heh yet no?,Hahgeh reh/resh heh yet no?
Where do you come from? m/f,Where do you come from? m/f
Inkwahn dehna me tah/tash,Inkwahn dehna me tah/tash
Welcome (m/f),Welcome (m/f)
ahbet,ahbet
response to someone calling your namehuh/what/yeah,response to someone calling your namehuh/what/yeah
Ahnteh!Ahnchee!,Ahnteh!Ahnchee!
Hey you! (m/f),Hey you! (m/f)
kehmees,kehmees
dress,dress
goord kehmees,goord kehmees
skirt,skirt
sooree,sooree
pants (trousers),pants (trousers)
goord sooree,goord sooree
shorts,shorts
adidas/sneaker,adidas/sneaker
athletic shoes,athletic shoes
soft,soft
toilet paper,toilet paper
chalk,chalk
chalk,chalk
blackboard,blackboard
chalkboard,chalkboard
musika,musika
music,music
sport,sport
sports/gym,sports/gym
doro,doro
chicken,chicken
wusha,wusha
dog,dog
demeut,demeut
cat,cat
jib,jib
hyena,hyena
boonee,boonee
brown,brown
nech,nech
white,white
tikoor,tikoor
black,black
mihtah/mihchee,mihtah/mihchee
kick (m/f),kick (m/f)
yahz/yahzhee,yahz/yahzhee
catch (m/f),catch (m/f)
irat,irat
dinner,dinner
manalk/manalsh?,manalk/manalsh?
What did you say? (m/f),What did you say? (m/f)
Melkam ledet!!,Melkam ledet!!
Happy Birthday!!,Happy Birthday!!
metfo,metfo
bad,bad
teru,teru
good,good
very,very
betam,betam
betam teru,betam teru
very good,very good
temhert bet,temhert bet
school,school
asteumari,asteumari
teacher,teacher
temari,temari
student,student
kefill,kefill
class,class
