Front,Back
Hello/Hi,Hello/Hi
Ndewo (pronounced as 'N-day-wo'),Ndewo (pronounced as 'N-day-wo')
Good morning,Good morning
Ụtụtụ ọma (pronounced as 'Oo-too-too o-ma'),Ụtụtụ ọma (pronounced as 'Oo-too-too o-ma')
Good afternoon,Good afternoon
Ehihie ọma (pronounced as 'Eh-hee-he o-ma'),Ehihie ọma (pronounced as 'Eh-hee-he o-ma')
Good evening,Good evening
Mgbede ọma (pronounced as 'M-bay-day o-ma'),Mgbede ọma (pronounced as 'M-bay-day o-ma')
My name is...,My name is...
Aha m bụ... (pronounced as 'A-ha m bu...'),Aha m bụ... (pronounced as 'A-ha m bu...')
I am from...,I am from...
Abụ m onye... (pronounced as 'A-bu m on-ye...'),Abụ m onye... (pronounced as 'A-bu m on-ye...')
I live in...,I live in...
Ebi m na... (pronounced as 'E-bi m na...'),Ebi m na... (pronounced as 'E-bi m na...')
What is your name?,What is your name?
Kedụ aha gị? (pronounced as 'Ke-du a-ha gi?'),Kedụ aha gị? (pronounced as 'Ke-du a-ha gi?')
Where are you from?,Where are you from?
Onye ebee ka ị bụ? or Ị bụ onye ebee? (pronounced as 'On-ye e-be-e ka i bu?'),Onye ebee ka ị bụ? or Ị bụ onye ebee? (pronounced as 'On-ye e-be-e ka i bu?')
Where do you live?,Where do you live?
Ebee ka ị bi? (pronounced as 'E-be-e ka i bi?'),Ebee ka ị bi? (pronounced as 'E-be-e ka i bi?')
How old are you?,How old are you?
Afọ ole ka ị dị? (pronounced as 'A-fo o-le ka i di?'),Afọ ole ka ị dị? (pronounced as 'A-fo o-le ka i di?')
What do you do for a living?,What do you do for a living?
Kedu ọrụ ị na-arụ? (pronounced as 'Ke-du o-ru i na-ru?'),Kedu ọrụ ị na-arụ? (pronounced as 'Ke-du o-ru i na-ru?')
Are you married? (male),Are you married? (male)
Ị lụgo Nwanyi? (pronounced as 'I lu-go why-nye?'),Ị lụgo Nwanyi? (pronounced as 'I lu-go why-nye?')
Are you married? (female),Are you married? (female)
Ị lụgo di? (pronounced as 'I lu-ru di?),Ị lụgo di? (pronounced as 'I lu-ru di?)
What are your hobbies?,What are your hobbies?
Kedu ihe ndị ị na-eme mgbe ị nọ n'ụlọ? Or Kedu ihe ndi na ama si gi? (pronounced as 'Ke-du i-he n-di i na-e-me n'e-fu?'),Kedu ihe ndị ị na-eme mgbe ị nọ n'ụlọ? Or Kedu ihe ndi na ama si gi? (pronounced as 'Ke-du i-he n-di i na-e-me n'e-fu?')
What is your favourite food?,What is your favourite food?
Kedụ nri kacha si gị mma? Or Kedu nri na ama si gi? (pronounced as 'Ke-du n-ri ka-cha c gi mma?'),Kedụ nri kacha si gị mma? Or Kedu nri na ama si gi? (pronounced as 'Ke-du n-ri ka-cha c gi mma?')
Have we met?,Have we met?
Anyi ahugo/anyi ahuvugo (pronounced ahoo-hoo-go),Anyi ahugo/anyi ahuvugo (pronounced ahoo-hoo-go)
I dont think we have met,I dont think we have met
Odigi m ka anyi ahuvugo (pronounced odim ka anyi ahoo-hoo-go),Odigi m ka anyi ahuvugo (pronounced odim ka anyi ahoo-hoo-go)
It's nice to meet you,It's nice to meet you
Obu ihe obi uto izute gi ( pronounced obu e-hey- obi uto e-zutay gi) OR o di mma izute gi,Obu ihe obi uto izute gi ( pronounced obu e-hey- obi uto e-zutay gi) OR o di mma izute gi
Meet,Meet
Zute (pronounced Zutay),Zute (pronounced Zutay)
My friends call me (nickname),My friends call me (nickname)
ndi enyi m na akpo m (aha otutu) (aha otutu= your nickname),ndi enyi m na akpo m (aha otutu) (aha otutu= your nickname)
nice to see you again,nice to see you again
o di mma i hu gi ozo,o di mma i hu gi ozo
pleased to meet you,pleased to meet you
o di m uto izute gi,o di m uto izute gi
call me,call me
akpo m,akpo m
we,we
anyi,anyi
what do you like?,what do you like?
ama si gi?,ama si gi?
ihe ndi,ihe ndi
hobbies,hobbies
How do you respond to 'How are you doing?',How do you respond to 'How are you doing?'
Kedu ka ị mere?,Kedu ka ị mere?
What does 'I'm exhausted' mean in Igbo?,What does 'I'm exhausted' mean in Igbo?
Ike gwụrụ m,Ike gwụrụ m
What does 'I'm okay' mean in Igbo?,What does 'I'm okay' mean in Igbo?
adị m mma,adị m mma
What does 'I'm sick' mean in Igbo?,What does 'I'm sick' mean in Igbo?
ahụ adịghị m,ahụ adịghị m
What does 'I'm tired' mean in Igbo?,What does 'I'm tired' mean in Igbo?
Ike adịghị m,Ike adịghị m
What does 'Not too bad' mean in Igbo?,What does 'Not too bad' mean in Igbo?
odịghị ọke njọ,odịghị ọke njọ
What does 'Very well' mean in Igbo?,What does 'Very well' mean in Igbo?
ọfụma,ọfụma
How do you say 'Nice to meet you' in Igbo?,How do you say 'Nice to meet you' in Igbo?
Ọ dị mma izute gị,Ọ dị mma izute gị
How do you say 'Pleased to meet you' in Igbo?,How do you say 'Pleased to meet you' in Igbo?
ọ dị m ụtọ izute gị,ọ dị m ụtọ izute gị
How do you say 'Nice to see you again' in Igbo?,How do you say 'Nice to see you again' in Igbo?
ọ dị mma ị hụ gị ozọ,ọ dị mma ị hụ gị ozọ
How do you say 'Haven't we met?' in Igbo?,How do you say 'Haven't we met?' in Igbo?
