Front,Back
"Sorry, I don't understand.","Sorry, I don't understand."
"ma3leesh, ana ma fhimta.","ma3leesh, ana ma fhimta."
"Sorry, could you repeat that?","Sorry, could you repeat that?"
"ma3leesh, mumkin taguul/taguuli tani?","ma3leesh, mumkin taguul/taguuli tani?"
"Sorry, could you speak slowly?","Sorry, could you speak slowly?"
"ma3leesh, titkallam/titkallami baraha?","ma3leesh, titkallam/titkallami baraha?"
When Asked if You can Speak Arabic:,When Asked if You can Speak Arabic:
Do you speak Arabic?,Do you speak Arabic?
Bitkallam/Bitkallami 3arabi?,Bitkallam/Bitkallami 3arabi?
I understand a little.,I understand a little.
ana bafham 3arabi shwaiya.,ana bafham 3arabi shwaiya.
"I understand it, but I can't speak it.","I understand it, but I can't speak it."
"ana bafham, lakiin ma bagdar atkallam.","ana bafham, lakiin ma bagdar atkallam."
Only a little,Only a little
shwaiya bas.,shwaiya bas.
Asking About The Language:,Asking About The Language:
How do you say ... in [Sudanese] Arabic?,How do you say ... in [Sudanese] Arabic?
kayf bitguul/bitguuli .... bil 3arabi [Sudani]?,kayf bitguul/bitguuli .... bil 3arabi [Sudani]?
What is this called in [Sudanese] Arabic?,What is this called in [Sudanese] Arabic?
da ismu shinu bil 3arabi [Sudani]?,da ismu shinu bil 3arabi [Sudani]?
How do you write it?,How do you write it?
kayf taktiba/taktibiha (formal)? or aktiba/aktibiha kayf?,kayf taktiba/taktibiha (formal)? or aktiba/aktibiha kayf?
Could you write it down for me?,Could you write it down for me?
mumkin taktiba/taktibiha (formal) or aktiba/aktibiha lay?,mumkin taktiba/taktibiha (formal) or aktiba/aktibiha lay?
How do you read it?,How do you read it?
kayf tagra/tagri (formal) or agra/agri?,kayf tagra/tagri (formal) or agra/agri?
Could you read this for me?,Could you read this for me?
mumkin tagra(m)/tagri(f) (formal) or agra(m)/agri(f) li da?,mumkin tagra(m)/tagri(f) (formal) or agra(m)/agri(f) li da?
Greetings:,Greetings:
Hello (Peace be upon you),Hello (Peace be upon you)
Assalamualaykum.,Assalamualaykum.
Respond with hello (And unto you peace),Respond with hello (And unto you peace)
Waalaykumassalam.,Waalaykumassalam.
Hi/Welome,Hi/Welome
Marhab (m)/ marhaba (f),Marhab (m)/ marhaba (f)
Hey,Hey
Ahlan/Ahlan wo sahlan,Ahlan/Ahlan wo sahlan
good morning (morning of goodnss),good morning (morning of goodnss)
sabah al khair.,sabah al khair.
respond with good morning (morning of light),respond with good morning (morning of light)
sabah al noor,sabah al noor
"hey, good morning","hey, good morning"
"ahlan, sabah al khair.","ahlan, sabah al khair."
"welcome, good morning (response)","welcome, good morning (response)"
marhab (m)/ marhaba (f),marhab (m)/ marhaba (f)
how are you (masculine),how are you (masculine)
izzayyak or kayfuk,izzayyak or kayfuk
how are you (feminine),how are you (feminine)
izzayyik or kayfik,izzayyik or kayfik
how are you (plural or more than one person),how are you (plural or more than one person)
kayfkom?,kayfkom?
"good morning, how are you guys? (plural)","good morning, how are you guys? (plural)"
"sabah al khair, kayfom?","sabah al khair, kayfom?"
"good morning, how are you? (feminine)","good morning, how are you? (feminine)"
"sabah al noor, kayfik?","sabah al noor, kayfik?"
how is your day? (masculine),how is your day? (masculine)
yomak kan kayf?,yomak kan kayf?
how is you day? (feminine),how is you day? (feminine)
yomik kan kayf?,yomik kan kayf?
how is your status?,how is your status?
kayf al hal?,kayf al hal?
how is work?,how is work?
kayf a shoghol?,kayf a shoghol?
I am,I am
ana,ana
you (masculine),you (masculine)
inta,inta
you (feminine),you (feminine)
intee,intee
and you (masculine),and you (masculine)
oow inta,oow inta
and you (feminine),and you (feminine)
oow intee,oow intee
I'm good.,I'm good.
ana tamam/tamal al tamam,ana tamam/tamal al tamam
Well,Well
kways.,kways.
Thank God (Praise Be To Allah) you use this after you answer how you are doing or is something well occurs...,Thank God (Praise Be To Allah) you use this after you answer how you are doing or is something well occurs...
Alhamdulillah.,Alhamdulillah.
"I'm Good, Praise Be to Allah","I'm Good, Praise Be to Allah"
"ana tamam, alhamdlillah.","ana tamam, alhamdlillah."
"I'm well, Praise be to Allah","I'm well, Praise be to Allah"
"ana kways, alhamdulillah.","ana kways, alhamdulillah."
Thank you,Thank you
shukran or teslam (m)/ teslami (f),shukran or teslam (m)/ teslami (f)
You're welcome,You're welcome
afwaan.,afwaan.
"I'm well, thank you. Praise Be to Allah","I'm well, thank you. Praise Be to Allah"
"ana kways, teslam/teslami. Alhamdulillah.","ana kways, teslam/teslami. Alhamdulillah."
Goodbye,Goodbye
ma'a s-salaama,ma'a s-salaama
Lesson 3: Meeting Someone New and Common Phrases,Lesson 3: Meeting Someone New and Common Phrases
Who are you?,Who are you?
minou inta (m)/intee (f),minou inta (m)/intee (f)
What is your name?,What is your name?
Ismak (m)/ ismik (f) minou?,Ismak (m)/ ismik (f) minou?
My name is (I call myself),My name is (I call myself)
ana ismoo (m)/ ismee (f),ana ismoo (m)/ ismee (f)
Nice to meet you,Nice to meet you
Fursa sa'eeda,Fursa sa'eeda
Where are you from?,Where are you from?
inta (m)/ intee (f) min wain?,inta (m)/ intee (f) min wain?
from,from
min,min
where,where
wain,wain
I'm from Sudan.,I'm from Sudan.
ana min as-Sudan.,ana min as-Sudan.
Sudan,Sudan
alsudan,alsudan
I'm Sudanese,I'm Sudanese
ana sudanee,ana sudanee
I'm American,I'm American
ana amreekee,ana amreekee
I live (big area),I live (big area)
ana muqeema,ana muqeema
I live (small area),I live (small area)
ana sakin,ana sakin
I live in America,I live in America
ana muqeema fe amreeka,ana muqeema fe amreeka
I live in the Nile Street.,I live in the Nile Street.
ana sakin fe sharg an neel,ana sakin fe sharg an neel
In,In
fe,fe
I love,I love
ana bahib,ana bahib
I love New York,I love New York
