Front,Back
-fahamu,-fahamu
"understand, know","understand, know"
kama,kama
"if, as, like, such as, about, around (approximately)","if, as, like, such as, about, around (approximately)"
Kifaransa,Kifaransa
French,French
kwa kweli,kwa kweli
"truly, in truth","truly, in truth"
kweli,kweli
true,true
"labeka (labe, abe, etc.)","labeka (labe, abe, etc.)"
"""yes, I hear you"" (replied by women)","""yes, I hear you"" (replied by women)"
naam,naam
"""yes, I hear you"" (replied by men)","""yes, I hear you"" (replied by men)"
bara,bara
"mainland, up-country, inland; continent (sg. and pl.)","mainland, up-country, inland; continent (sg. and pl.)"
hasa,hasa
especially,especially
-jifunza,-jifunza
learn,learn
kabila,kabila
"tribe, ethnic group","tribe, ethnic group"
makabila,makabila
"tribes, ethnic groups","tribes, ethnic groups"
karibu,karibu
nearly,nearly
kazi,kazi
work (sg. and pl.),work (sg. and pl.)
kazini,kazini
at work,at work
kisiwa,kisiwa
island,island
visiwa,visiwa
islands,islands
kule,kule
there (at a distance),there (at a distance)
kwa,kwa
"by, with, for, to, in respect to, etc.","by, with, for, to, in respect to, etc."
kwa hivyo,kwa hivyo
therefore,therefore
kwa sababu,kwa sababu
because,because
mashambani,mashambani
in the rural areas,in the rural areas
mbalimbali,mbalimbali
"various, assorted, different ones","various, assorted, different ones"
mfanyakazi,mfanyakazi
worker,worker
wafanyakazi,wafanyakazi
workers,workers
mwananchi,mwananchi
citizen,citizen
wananchi,wananchi
citizens,citizens
pwani,pwani
"coast, shore (sg. and pl.)","coast, shore (sg. and pl.)"
sehemu,sehemu
"section, part (sg. and pl.)","section, part (sg. and pl.)"
-sema na,-sema na
speak with,speak with
shamba,shamba
"farm, field","farm, field"
mashamba,mashamba
"farms, fields","farms, fields"
-tumia,-tumia
use,use
Unguja,Unguja
the traditional name for the Island of Zanzibar,the traditional name for the Island of Zanzibar
upesi,upesi
"quick, quickly","quick, quickly"
vingine,vingine
"other things, some things (only used with ""vi-"" words)","other things, some things (only used with ""vi-"" words)"
vizuri,vizuri
"very well, well","very well, well"
wakati,wakati
time (in the general sense),time (in the general sense)
wakati wa,wakati wa
when (used with an infinitive),when (used with an infinitive)
