Front,Back
Mepa wo kyew,Mepa wo kyew
Please,Please
"Mepaakyew, meye hoho)","Mepaakyew, meye hoho)"
"Please, I am a stranger","Please, I am a stranger"
"Mepaakyew, kyeere me kyan no","Mepaakyew, kyeere me kyan no"
"Please, show me the way","Please, show me the way"
"Mepaakyew, mefiri America","Mepaakyew, mefiri America"
"Please, I'm from America","Please, I'm from America"
Akwaaba,Akwaaba
welcome,welcome
Mema wo akwaaba,Mema wo akwaaba
I welcome you,I welcome you
Yema wo akwaaba,Yema wo akwaaba
We welcome you,We welcome you
Akwaaba! Memma wo nsuo?,Akwaaba! Memma wo nsuo?
Welcome! Should I get you water?,Welcome! Should I get you water?
Medaase,Medaase
Thank you,Thank you
"Awurade, medaase","Awurade, medaase"
"God, I thank you","God, I thank you"
Aane,Aane
Yes,Yes
Dabi,Dabi
No,No
Woadidi?,Woadidi?
Have you eaten?,Have you eaten?
Wofiri Ghana?,Wofiri Ghana?
Are you from Ghana?,Are you from Ghana?
Woate ase?,Woate ase?
Do you understand?,Do you understand?
Wote Twi?,Wote Twi?
Do you understand Twi?,Do you understand Twi?
Kafra,Kafra
Sorry,Sorry
"Me nua, kafra","Me nua, kafra"
"My sibbling, sorry","My sibbling, sorry"
Eye ya. Kafra.,Eye ya. Kafra.
It's painful. Sorry.,It's painful. Sorry.
Maakye,Maakye
Good morning,Good morning
Yaa agya,Yaa agya
response to an elderly man,response to an elderly man
Yaa Ena,Yaa Ena
response to an elderly woman,response to an elderly woman
Yaa anua,Yaa anua
response to a friend,response to a friend
Maaha,Maaha
Good afternoon,Good afternoon
Maadwo,Maadwo
Good evening,Good evening
O saa?,O saa?
Oh really?,Oh really?
Wo maame wo fie?,Wo maame wo fie?
Is your mother home?,Is your mother home?
Da yie,Da yie
Good night,Good night
Nante yie,Nante yie
Goodbye,Goodbye
Yaa oba,Yaa oba
Response to a child,Response to a child
Afenhyia pa,Afenhyia pa
Christmas greeting,Christmas greeting
Afe nko mmeto yen,Afe nko mmeto yen
Christmas response,Christmas response
Awuraa,Awuraa
Ma'am,Ma'am
Wo ho te sen?,Wo ho te sen?
How are you?,How are you?
Me ho ye,Me ho ye
I'm fine,I'm fine
Owura,Owura
sir,sir
Ete sen?,Ete sen?
How are you? (informal),How are you? (informal)
Eye,Eye
fine,fine
Nyameadom eye,Nyameadom eye
By God's grace fine,By God's grace fine
Opanyin,Opanyin
Elder,Elder
Obaa panyin,Obaa panyin
Female elder,Female elder
Ko bra,Ko bra
Go and come,Go and come
Wo,Wo
to be,to be
Fie,Fie
house,house
ma,ma
to give,to give
Ba,Ba
to come,to come
wae,wae
please,please
eho,eho
there,there
fre,fre
to call,to call
Wo ho ye?,Wo ho ye?
Are you okay?,Are you okay?
Bokoo dee?,Bokoo dee?
You okay?,You okay?
Wo din de sen?,Wo din de sen?
What is your name?,What is your name?
Yefre wo se?,Yefre wo se?
What do they call you?,What do they call you?
Sen,Sen
What?,What?
Wo,Wo
You/your,You/your
Firi,Firi
To be from,To be from
Wofiri he?,Wofiri he?
Where are you from?,Where are you from?
Te,Te
To live/sit,To live/sit
Wote he?,Wote he?
Where do you live?,Where do you live?
Mofiri he?,Mofiri he?
Where are yall from?,Where are yall from?
Mo,Mo
Ya'll,Ya'll
Ye,Ye
We,We
Me din de Akua,Me din de Akua
My name is Akua,My name is Akua
Mepaakyew ye fre me Akua,Mepaakyew ye fre me Akua
Please They call me Akua,Please They call me Akua
Edin,Edin
Name,Name
Won,Won
They,They
Ehe,Ehe
Where,Where
Nua,Nua
Sibbling,Sibbling
Mema wo adjuma,Mema wo adjuma
Greeting while working,Greeting while working
Adjuma ye,Adjuma ye
Greeting response while working,Greeting response while working
Kya,Kya
To greet,To greet
Abusua,Abusua
Family,Family
Kya w'abusuafuo ma me,Kya w'abusuafuo ma me
Greet your family for me,Greet your family for me
Wobete',Wobete'
They will hear,They will hear
Te',Te'
To hear,To hear
Mema wo due,Mema wo due
I am sorry for your pain,I am sorry for your pain
Due,Due
Na,Na
and,and
Nso,Nso
also/too,also/too
"Na wo nso, wo ho te sen?","Na wo nso, wo ho te sen?"
"And you, how are you?","And you, how are you?"
Ofie te sen?,Ofie te sen?
How is everything at home?,How is everything at home?
Ofie dee bokoo,Ofie dee bokoo
Everything is fine at home,Everything is fine at home
adee,adee
thing,thing
hu,hu
to see,to see
eda,eda
day,day
anadwo,anadwo
night,night
anaa,anaa
or,or
borofo,borofo
English,English
ka,ka
to speak,to speak
Woka Twi wo fie anaa?,Woka Twi wo fie anaa?
"Do you speak Twi at home, or?","Do you speak Twi at home, or?"
bi,bi
"a, an, any, some","a, an, any, some"
Ka bio,Ka bio
Say it again,Say it again
Mete wase,Mete wase
I understand you,I understand you
Kasa bereeoo,Kasa bereeoo
Talk slowly,Talk slowly
Mme enna ase,Mme enna ase
You are welcome,You are welcome
sua,sua
study,study
nni,nni
do not eat,do not eat
"Owura wo ho, anaa?","Owura wo ho, anaa?"
"Is sir in, or?","Is sir in, or?"
"Aane, owo ha","Aane, owo ha"
"Yes, he is here","Yes, he is here"
Tumi,Tumi
to be able,to be able
