Front,Back
Asalaam malikume,Asalaam malikume
Peace be to you,Peace be to you
Naka nga def =Na nga def =Noo def.,Naka nga def =Na nga def =Noo def.
How are you,How are you
Taxawalu,Taxawalu
Se promener,Se promener
Goro,Goro
Gorille,Gorille
Danga doff,Danga doff
Il elle est folle,Il elle est folle
Mangi fii (rekk),Mangi fii (rekk)
I am here (only),I am here (only)
Ana waa ker ga/(Ana sa waa ker),Ana waa ker ga/(Ana sa waa ker)
How is your family (Ana-where are waa-the people of ga-the ker-house),How is your family (Ana-where are waa-the people of ga-the ker-house)
Ñunga fa,Ñunga fa
(The family) They are there,(The family) They are there
Sour na,Sour na
J'ai assez mangé,J'ai assez mangé
Nex na,Nex na
It's good,It's good
Baré na,Baré na
And plentiful,And plentiful
Muuñ,Muuñ
Smile,Smile
Muñ,Muñ
To persevere,To persevere
Ku muññ,Ku muññ
Someone who perseveres,Someone who perseveres
Muña yalla bakk na,Muña yalla bakk na
God is good don't lose faith,God is good don't lose faith
Kaay,Kaay
Viens!,Viens!
Kayleen,Kayleen
Venez!,Venez!
Dafé yomb,Dafé yomb
C'est facile,C'est facile
Na res ak jamm,Na res ak jamm
May you digest in peace,May you digest in peace
Ngox,Ngox
L'eau,L'eau
Kanam,Kanam
Visage,Visage
Nax,Nax
To fool someone,To fool someone
Mbokk,Mbokk
Famille,Famille
Yaay (Yīy),Yaay (Yīy)
Mère,Mère
Nit,Nit
Person,Person
Nitay,Nitay
Un autre person,Un autre person
Teranga,Teranga
Hostpitality,Hostpitality
Teral/ganalé,Teral/ganalé
To entertain,To entertain
Ga,Ga
Guests/visitors,Guests/visitors
Kersa,Kersa
Good manners,Good manners
Ñakk kersa,Ñakk kersa
Bad maners,Bad maners
Fyda,Fyda
Sticking up for your self,Sticking up for your self
Natt,Natt
Financial perticipation chip in,Financial perticipation chip in
Ceeb (cheb),Ceeb (cheb)
Rice,Rice
Jén,Jén
Fish,Fish
Lekkal,Lekkal
Mange!,Mange!
Fiir/fear,Fiir/fear
Jealous,Jealous
Xarit,Xarit
Friend,Friend
Góor,Góor
Boy/brother,Boy/brother
Jigéen,Jigéen
Girl /Sister?,Girl /Sister?
Rakk,Rakk
Younger sibling,Younger sibling
Sériñ,Sériñ
Older male leader,Older male leader
Soxna,Soxna
Older female leader,Older female leader
Àgg na,Àgg na
Already arrived (in heaven)?,Already arrived (in heaven)?
Baal ma ko ba benin,Baal ma ko ba benin
Excuse me until next time,Excuse me until next time
Ba benin,Ba benin
Until next time,Until next time
Reer (rare),Reer (rare)
Dinner,Dinner
Rarou gan,Rarou gan
Dinner to a guest,Dinner to a guest
Toubab,Toubab
White people,White people
Añ,Añ
Déjeuner,Déjeuner
Añu gan,Añu gan
Lunch to a guest,Lunch to a guest
Doxandeem,Doxandeem
Foreigner,Foreigner
Tumouranké,Tumouranké
Help/aid,Help/aid
Aayo,Aayo
Go to sleep,Go to sleep
Karr,Karr
What you say after complimenting someone,What you say after complimenting someone
Tuuti,Tuuti
Petit,Petit
Waañ,Waañ
Cuisine,Cuisine
Buur,Buur
King,King
Dem/dik,Dem/dik
Go/come (bus),Go/come (bus)
Jeré jef,Jeré jef
Thank you,Thank you
Ñaata la,Ñaata la
Combien ça coute?,Combien ça coute?
Bo suba [umshalla]\[nyajam],Bo suba [umshalla]\[nyajam]
Jusqu'à demain,Jusqu'à demain
Nambé nala,Nambé nala
Its been a while since ive see you/ ive had nostalgia for you (singular),Its been a while since ive see you/ ive had nostalgia for you (singular)
Nambé nalé,Nambé nalé
I ve had nostalgie for you (plurial),I ve had nostalgie for you (plurial)
Xalé,Xalé
Child,Child
Response to Nambé nala,Response to Nambé nala
Mallah row,Mallah row
Reponse a Nambé nalé,Reponse a Nambé nalé
Mallen row (pluriel),Mallen row (pluriel)
Alxamdulilaay,Alxamdulilaay
Merci Dieu,Merci Dieu
Kii kan la?,Kii kan la?
Who is that? (Who there is),Who is that? (Who there is)
Ño ko bokk,Ño ko bokk
De rien / je vous en prie,De rien / je vous en prie
Kii naka la tudd(u),Kii naka la tudd(u)
Comment il/elle s'appele PRENOM,Comment il/elle s'appele PRENOM
Kii naka la sant?,Kii naka la sant?
Comment il/elle s'appele (NOM)?,Comment il/elle s'appele (NOM)?
Kii lan la?,Kii lan la?
What that person is?,What that person is?
Kii jangekat la.,Kii jangekat la.
A student he/she is,A student he/she is
Ki jigeen la.,Ki jigeen la.
Girl/sister? She is,Girl/sister? She is
Ki góor la,Ki góor la
Boy/brother? He is,Boy/brother? He is
-ker,-ker
A la fin des mots pour dire -er comme teacher,A la fin des mots pour dire -er comme teacher
Jangale,Jangale
Teach,Teach
Jangalekat,Jangalekat
Teacher,Teacher
Liggy,Liggy
To work,To work
Liggykat,Liggykat
Worker,Worker
Waxal ndank,Waxal ndank
Talk slow,Talk slow
Baax na (Barna),Baax na (Barna)
Ok,Ok
Bou baax,Bou baax
Very much,Very much
Lekk nga bu baax?,Lekk nga bu baax?
Eat you very well?,Eat you very well?
Waaw lekk naa bou baax,Waaw lekk naa bou baax
Yes eat i very well,Yes eat i very well
Waaw,Waaw
Yes,Yes
Sop... Sôpé,Sop... Sôpé
Aime... Chérie,Aime... Chérie
Bul woole (woolō),Bul woole (woolō)
Ne pas faire Confiance,Ne pas faire Confiance
Woole (woolō) nala,Woole (woolō) nala
Faire confiance,Faire confiance
Garabam,Garabam
L'arbre/medicaments (d'un arbre),L'arbre/medicaments (d'un arbre)
Kii,Kii
Ce-lui ci. This person here,Ce-lui ci. This person here
Fi(i),Fi(i)
Ici/this place here,Ici/this place here
Lii,Lii
Cette chose ci/this thing here,Cette chose ci/this thing here
Leggi,Leggi
Maintenant. Now,Maintenant. Now
Itam,Itam
"AlsoJigeen la, jangekat la itam.","AlsoJigeen la, jangekat la itam."
Fi(i) fan la,Fi(i) fan la
"Where is here/""am I"". This place here where is-it","Where is here/""am I"". This place here where is-it"
Sees,Sees
Chair,Chair
Būnt,Būnt
Door,Door
Tabaal,Tabaal
Table,Table
