Front,Back
Amaphilisi,Amaphilisi
Pills,Pills
Anela,Anela
Enough,Enough
Angiqondi kahle,Angiqondi kahle
I don't understand,I don't understand
Angizwa,Angizwa
I don't understand,I don't understand
Awukhulume kancane,Awukhulume kancane
Please speak slowly,Please speak slowly
Awuphinde,Awuphinde
Please Repeat,Please Repeat
Baba,Baba
Less formal for older man,Less formal for older man
Bhala,Bhala
Write,Write
Bheka,Bheka
Look,Look
Bona,Bona
They,They
Buyisa,Buyisa
Return Something,Return Something
"Cha, angimazi","Cha, angimazi"
"No, I don't know him.","No, I don't know him."
"Cha, sikhona","Cha, sikhona"
We are fine.,We are fine.
Cula,Cula
Sing,Sing
"Dadewethu, Dade","Dadewethu, Dade"
My Sister,My Sister
Dlala,Dlala
Play,Play
Funda,Funda
Read,Read
Gijima,Gijima
Jump,Jump
Gxuma,Gxuma
Run,Run
Hamba,Hamba
"Leave, walk","Leave, walk"
Hamba Kahle,Hamba Kahle
Go well.,Go well.
Hambani Kahle,Hambani Kahle
Go well. (to many),Go well. (to many)
Hhola,Hhola
Earn,Earn
Hlala,Hlala
"Sit, stay","Sit, stay"
Hlecka,Hlecka
Laugh,Laugh
Ibhubesi,Ibhubesi
Lion,Lion
Idada,Idada
Duck,Duck
Ifu,Ifu
Cloud,Cloud
Igama lakho ubani?,Igama lakho ubani?
What is your name?,What is your name?
Igama lami ngu,Igama lami ngu
My name is,My name is
Igama lami uChristie,Igama lami uChristie
My name is Christie,My name is Christie
Ikhanda,Ikhanda
Head,Head
Ingane,Ingane
"Child, Baby","Child, Baby"
Insinqumo,Insinqumo
Decision,Decision
Inyoni,Inyoni
Bird,Bird
Isibongo sami uArnold,Isibongo sami uArnold
My surname is Arnold,My surname is Arnold
Isisu,Isisu
Stomach,Stomach
Itiye,Itiye
Tea,Tea
Iwele,Iwele
Twin,Twin
Kade ngakugcina,Kade ngakugcina
I haven't seen you for a long time,I haven't seen you for a long time
Khala,Khala
Cry,Cry
Khuluma,Khuluma
Talk,Talk
Kiwemba,Kiwemba
Scratch,Scratch
Kuhle,Kuhle
Good.,Good.
Kulungile,Kulungile
It is fine. It is OK.,It is fine. It is OK.
Kunjani?,Kunjani?
Howzit?,Howzit?
Lala,Lala
Sleep,Sleep
Laleza,Laleza
Listen,Listen
Ma,Ma
Less formal for older lady,Less formal for older lady
Madoda,Madoda
Men,Men
Makhosikazi,Makhosikazi
Ladies,Ladies
Mehlomadala,Mehlomadala
Long time no see.,Long time no see.
Mfana,Mfana
Boy,Boy
"Mfowethu, Mfo","Mfowethu, Mfo"
My Brother,My Brother
Mina,Mina
I,I
Mngane wami,Mngane wami
My Friend,My Friend
Mntanami,Mntanami
My Child,My Child
Mnumzane,Mnumzane
Sir,Sir
Nami ngiyaphila,Nami ngiyaphila
I am also fine.,I am also fine.
Nangu umngane wami u,Nangu umngane wami u
This is my friend,This is my friend
Nathia sikhona,Nathia sikhona
We are also fine.,We are also fine.
Ngibuza kuwe?,Ngibuza kuwe?
I ask about you.,I ask about you.
Ngihlala e,Ngihlala e
I live in,I live in
Ngingezwa wena?,Ngingezwa wena?
Can I hear about you?,Can I hear about you?
NgingumZulu,NgingumZulu
I am a Zulu person,I am a Zulu person
Ngiphuma eMelika,Ngiphuma eMelika
I come from America,I come from America
Ngisaphila,Ngisaphila
I am still fine.,I am still fine.
Ngithokoza ulwazi,Ngithokoza ulwazi
I enjoy the knowledge,I enjoy the knowledge
Ngiyabonga,Ngiyabonga
Thank you,Thank you
Ngiyagula,Ngiyagula
I am ill.,I am ill.
Ngiyajabula ukukwazi,Ngiyajabula ukukwazi
I am pleased to know you.,I am pleased to know you.
Ngiyajabula ukuzwa lokho.,Ngiyajabula ukuzwa lokho.
I am pleased to hear that.,I am pleased to hear that.
Ngiyaxolisa,Ngiyaxolisa
Sorry!,Sorry!
Ngqongquoza,Ngqongquoza
Knock,Knock
Nihambe Kahle,Nihambe Kahle
May you all go well,May you all go well
Nina,Nina
You all,You all
Nina ninjani?,Nina ninjani?
And how are all of you?,And how are all of you?
Ninjani?,Ninjani?
How are you? (to many),How are you? (to many)
Nisale Kahle,Nisale Kahle
May you all stay well,May you all stay well
Nkosikazi,Nkosikazi
Madam,Madam
Ntombazane,Ntombazane
Young Girl,Young Girl
Nxese,Nxese
Sorry!,Sorry!
Pheka,Pheka
Cook,Cook
Phela,Phela
Finish,Finish
Phethwe,Phethwe
"Controlled by, ill with","Controlled by, ill with"
Phuma,Phuma
Come from/Exit,Come from/Exit
Phuza,Phuza
Drink,Drink
Qeda,Qeda
Complete,Complete
Quebeka,Quebeka
Continue,Continue
Sala Kahle,Sala Kahle
Stay well. (to one),Stay well. (to one)
Salani Kahle,Salani Kahle
Stay well (to many),Stay well (to many)
Sanibona,Sanibona
Hello to many,Hello to many
Sanibonani,Sanibonani
Hello to many,Hello to many
Sawubona,Sawubona
Hello to one,Hello to one
Shisa,Shisa
"Be hot, burn","Be hot, burn"
Singezwa nina?,Singezwa nina?
Can we hear about all of you?,Can we hear about all of you?
Siza,Siza
Help,Help
Sizobonana kusasa,Sizobonana kusasa
We will see each other tomorrow,We will see each other tomorrow
Thatha,Thatha
Take,Take
Thenga,Thenga
Buy,Buy
