Front,Back
I can,I can
Ngiyakwazi,Ngiyakwazi
I could,I could
Ngingakwazi,Ngingakwazi
I cannot,I cannot
Angikwazi,Angikwazi
Welcome,Welcome
Siyakwamukela,Siyakwamukela
To show,To show
uku-bonisa,uku-bonisa
Give,Give
uku-nika,uku-nika
Take,Take
uku-thatha,uku-thatha
Bring,Bring
uku-letha,uku-letha
Send,Send
uku-thumela,uku-thumela
Receive / accept,Receive / accept
uk-wamukela,uk-wamukela
Open / switch on,Open / switch on
uku-vula,uku-vula
Close / shut,Close / shut
uku-vala,uku-vala
Open,Open
uku-vula,uku-vula
Start / begin,Start / begin
uku-qala,uku-qala
Finish / end,Finish / end
uku-qeda,uku-qeda
Stop,Stop
uku-misa,uku-misa
Sit / stay / live,Sit / stay / live
uku-hlala,uku-hlala
Stand / stop (halt),Stand / stop (halt)
uku-ma,uku-ma
Sleep,Sleep
uku-lala,uku-lala
Eat,Eat
uku-dla,uku-dla
Drink,Drink
uku-phuza,uku-phuza
Cook,Cook
uku-pheka,uku-pheka
Wash / bathe,Wash / bathe
uku-geza,uku-geza
Clean,Clean
uku-hlanza,uku-hlanza
Work,Work
uku-sebenza,uku-sebenza
Read / study / learn,Read / study / learn
uku-funda,uku-funda
Write,Write
uku-bhala,uku-bhala
Speak / talk,Speak / talk
uku-khuluma,uku-khuluma
Say,Say
uku-sho,uku-sho
Tell,Tell
uku-tshela,uku-tshela
Listen,Listen
uku-lalela,uku-lalela
Hear / feel,Hear / feel
uku-zwa,uku-zwa
See,See
uku-bona,uku-bona
Look / watch,Look / watch
uku-buka,uku-buka
Think,Think
uku-cabanga,uku-cabanga
Know / be able to,Know / be able to
uk-wazi,uk-wazi
Understand,Understand
uku-qonda,uku-qonda
Remember,Remember
uku-khumbula,uku-khumbula
Forget,Forget
uku-khohlwa,uku-khohlwa
Want / look for,Want / look for
uku-funa,uku-funa
Need,Need
uku-dinga,uku-dinga
Like / love,Like / love
uku-thanda,uku-thanda
Help,Help
uku-siza,uku-siza
Ask,Ask
uku-buza,uku-buza
Answer / reply,Answer / reply
uku-phendula,uku-phendula
Wait,Wait
uku-linda,uku-linda
Try,Try
uku-zama,uku-zama
Use,Use
uku-sebenzisa,uku-sebenzisa
Find / get,Find / get
uku-thola,uku-thola
Keep / save,Keep / save
uku-gcina,uku-gcina
Put / place,Put / place
uku-beka,uku-beka
Carry / handle,Carry / handle
uku-phatha,uku-phatha
Put in / add,Put in / add
uku-faka,uku-faka
Take out / remove,Take out / remove
uku-khipha,uku-khipha
Leave (behind),Leave (behind)
uku-shiya,uku-shiya
And / also,And / also
futhi,futhi
But,But
kodwa,kodwa
Because,Because
ngoba,ngoba
Or,Or
noma,noma
If / when,If / when
uma,uma
That (as in “I said that…”),That (as in “I said that…”)
ukuthi,ukuthi
Then / so,Then / so
ke,ke
Now,Now
manje,manje
Still,Still
namanje,namanje
Always,Always
njalo,njalo
Maybe,Maybe
mhlawumbe,mhlawumbe
Indeed / really,Indeed / really
impela,impela
Just / simply,Just / simply
nje,nje
Only,Only
kuphela,kuphela
Again,Again
phinde,phinde
Everything / all,Everything / all
konke,konke
Other / some,Other / some
okunye,okunye
Nothing,Nothing
lutho,lutho
Every / all (each),Every / all (each)
wonke,wonke
Here,Here
lapha,lapha
There,There
laphaya,laphaya
Inside,Inside
ngaphakathi,ngaphakathi
Outside,Outside
ngaphandle,ngaphandle
Up / above,Up / above
phezulu,phezulu
Down / below,Down / below
phansi,phansi
Person,Person
umuntu,umuntu
Everyone,Everyone
Wonke umuntu,Wonke umuntu
Everything,Everything
Yonke into,Yonke into
Child,Child
ingane,ingane
For example,For example
ngokwesibonelo,ngokwesibonelo
Anyway,Anyway
noma kunjalonoma kanjani,noma kunjalonoma kanjani
In any case,In any case
noma kunjalokunoma yikuphi,noma kunjalokunoma yikuphi
However,However
nokho,nokho
Friend,Friend
umngane,umngane
Family,Family
umndeni,umndeni
Father / dad,Father / dad
ubaba,ubaba
Mother / mom,Mother / mom
umama,umama
Money,Money
imali,imali
Phone,Phone
ifoniucingo,ifoniucingo
House / home,House / home
indlu,indlu
Room,Room
igumbi,igumbi
Shop / store,Shop / store
isitolo,isitolo
Road / street,Road / street
umgwaqo,umgwaqo
Water,Water
amanzi,amanzi
Food,Food
ukudla (noun),ukudla (noun)
